Date;N1;N2;N3;N4;N5;E1;E2;Winner;Gain
2004-06-18;43;37;31;35;17;11;10;0;0
2004-06-18;28;2;40;23;43;6;2;1;12286876
2004-09-04;33;13;48;30;7;3;2;0;0
2004-09-04;50;6;46;31;28;9;4;0;0
2004-09-04;13;39;14;43;5;3;7;0;0
2004-09-04;20;42;13;35;27;9;10;0;0
2004-09-04;23;19;10;1;4;2;8;1;25556285
2004-10-22;3;47;35;45;19;2;3;0;0
2004-10-22;35;11;15;1;37;3;5;0;0
2004-10-22;32;25;22;35;49;1;3;0;0
2004-10-22;41;39;43;38;32;8;2;0;0
2004-10-22;9;25;1;40;23;3;9;1;25059130
2004-11-26;48;46;47;25;39;3;11;0;0
2004-11-26;35;16;25;8;48;1;7;0;0
2004-11-26;15;44;41;5;40;8;5;0;0
2004-11-26;25;5;6;3;29;12;3;0;0
2004-11-26;24;1;34;4;36;8;6;1;43756502
2004-12-17;26;45;33;21;12;12;10;0;0
2004-12-17;13;23;43;20;42;2;6;0;0
2004-12-17;4;10;9;38;1;6;5;0;0
2004-12-17;19;22;14;18;34;10;5;0;0
2004-12-17;49;22;19;15;46;9;2;1;26215627
2004-12-24;23;31;47;5;1;7;11;0;0
2004-12-24;12;36;31;9;15;11;12;0;0
2004-12-24;50;46;14;3;6;9;7;0;0
2004-12-24;39;8;47;3;11;1;4;0;0
2004-12-24;3;27;29;4;37;6;5;1;10000000
2005-01-14;33;6;39;13;5;6;4;0;0
2005-01-14;35;45;8;28;46;12;1;0;0
2005-01-14;26;16;38;4;33;6;9;0;0
2005-01-14;27;10;45;41;47;4;6;0;0
2005-01-14;11;14;29;6;19;3;1;2;26007362
2005-02-18;40;31;8;16;23;4;10;0;0
2005-02-18;24;14;41;13;3;5;6;0;0
2005-02-18;47;31;24;7;1;4;8;0;0
2005-02-18;44;14;36;20;29;1;10;0;0
2005-02-18;32;46;20;21;26;8;9;1;10000000
2005-04-22;49;20;50;7;39;5;4;0;0
2005-04-22;12;37;6;23;43;10;11;0;0
2005-04-22;13;24;6;22;49;1;2;0;0
2005-04-22;31;7;42;46;50;10;5;0;0
2005-04-22;13;10;24;47;3;9;5;2;23749558
2005-05-20;33;3;25;27;11;3;12;0;0
2005-05-20;22;4;15;48;45;11;5;0;0
2005-05-20;30;6;2;33;47;10;12;0;0
2005-05-20;30;39;14;18;27;8;1;0;0
2005-05-20;28;6;47;7;13;8;5;1;43020745
2005-07-10;8;38;6;41;2;2;6;0;0
2005-07-10;2;30;27;32;18;3;7;0;0
2005-07-10;35;31;15;18;8;9;7;0;0
2005-07-10;9;19;27;13;8;2;4;0;0
2005-07-10;26;44;21;13;2;3;9;2;15000000
2005-07-29;24;35;9;2;49;8;1;0;0
2005-07-29;18;40;13;37;43;12;10;0;0
2005-07-29;40;19;17;7;48;6;2;0;0
2005-07-29;45;29;25;28;18;12;5;0;0
2005-07-29;50;3;19;49;26;5;4;1;115436126
2005-08-04;29;30;32;43;50;10;12;0;0
2005-08-04;38;24;33;23;16;9;1;0;0
2005-08-04;9;17;29;18;13;11;1;0;0
2005-08-04;30;32;7;23;19;8;11;0;0
2005-08-04;31;50;25;11;7;3;1;1;64040749
2005-09-16;36;10;20;24;41;2;7;0;0
2005-09-16;25;7;2;35;9;5;7;0;0
2005-09-16;17;2;22;28;36;8;7;0;0
2005-09-16;37;30;27;3;26;7;11;0;0
2005-09-16;19;38;12;13;21;3;9;1;75888514
2005-09-30;25;38;4;13;8;1;2;0;0
2005-09-30;40;15;28;33;5;8;3;0;0
2005-09-30;20;37;47;40;4;2;7;0;0
2005-09-30;21;10;24;42;4;2;11;0;0
2005-09-30;11;50;48;6;47;1;6;4;25066380
2005-10-14;22;49;24;45;50;1;4;0;0
2005-10-14;50;25;6;15;16;6;3;0;0
2005-10-14;43;38;7;31;12;7;10;0;0
2005-10-14;19;36;6;18;31;4;11;0;0
2005-10-14;10;19;11;23;20;6;1;1;15000000
2005-11-02;28;49;19;47;41;11;7;0;0
2005-11-02;31;40;39;19;44;10;11;0;0
2005-11-02;40;32;24;11;10;2;8;0;0
2005-11-02;23;7;42;28;27;3;8;0;0
2005-11-02;11;13;25;32;50;7;4;1;34776948
2005-11-11;3;26;5;19;12;6;9;0;0
2005-11-11;47;33;14;38;46;3;2;0;0
2005-11-11;33;25;49;1;43;3;2;0;0
2005-11-11;2;48;33;16;22;9;4;0;0
2005-11-11;41;16;36;42;15;5;3;1;45117030
2006-01-09;44;31;35;1;4;10;4;0;0
2006-01-09;5;12;18;38;50;3;11;0;0
2006-01-09;27;43;11;50;49;1;4;0;0
2006-01-09;33;34;15;41;28;10;1;0;0
2006-01-09;25;50;7;45;3;9;6;0;15000000
2006-01-12;25;40;1;9;7;7;11;0;0
2006-01-12;46;18;29;7;22;7;5;0;0
2006-01-12;31;9;5;37;42;11;2;0;0
2006-01-12;30;16;28;26;32;8;5;0;0
2006-01-12;16;37;8;41;4;2;5;0;15000000
2006-01-27;39;9;26;41;18;1;10;0;0
2006-01-27;50;17;22;49;25;1;10;0;0
2006-01-27;20;36;42;3;13;7;11;0;0
2006-01-27;12;7;22;13;43;12;4;0;0
2006-01-27;9;21;15;40;49;4;1;0;152882223
2006-02-06;42;31;20;29;4;1;7;0;0
2006-02-06;27;45;39;14;29;9;3;0;0
2006-02-06;2;39;48;28;46;8;4;0;0
2006-02-06;42;35;23;47;19;10;3;0;0
2006-02-06;41;7;48;27;8;6;1;0;15000000
2006-02-17;35;2;5;24;18;3;5;0;0
2006-02-17;23;44;47;3;1;10;9;0;0
2006-02-17;47;30;48;8;45;9;10;0;0
2006-02-17;16;24;50;10;11;10;5;0;0
2006-02-17;4;23;38;24;26;4;2;1;27813382
2006-02-24;3;17;27;7;36;1;11;0;0
2006-02-24;36;27;24;11;12;9;5;0;0
2006-02-24;20;41;2;30;7;1;6;0;0
2006-02-24;50;28;38;11;21;5;1;0;0
2006-02-24;18;19;1;47;11;7;3;0;15000000
2006-03-02;42;34;41;37;13;9;12;0;0
2006-03-02;35;26;20;38;45;5;7;0;0
2006-03-02;17;5;21;40;35;9;3;0;0
2006-03-02;50;4;2;27;48;4;9;0;0
2006-03-02;30;39;9;21;50;3;1;3;183573077
2006-03-03;32;12;6;23;28;2;12;0;0
2006-03-03;38;10;22;14;24;5;3;0;0
2006-03-03;22;2;42;48;1;2;6;0;0
2006-03-03;29;13;7;45;28;8;4;0;0
2006-03-03;5;44;10;8;3;3;5;0;26842720
2006-03-11;9;7;12;5;23;9;6;0;0
2006-03-11;36;35;13;41;6;9;11;0;0
2006-03-11;12;3;16;14;49;11;6;0;0
2006-03-11;48;37;30;11;33;3;5;0;0
2006-03-11;13;11;44;24;49;9;3;0;131523150
2006-03-17;9;44;20;30;23;12;8;0;0
2006-03-17;44;46;40;2;14;12;9;0;0
2006-03-17;22;19;34;44;47;5;1;0;0
2006-03-17;16;40;26;29;18;12;4;0;0
2006-03-17;50;44;5;45;32;7;1;0;51865203
2006-03-24;20;12;23;15;50;4;3;0;0
2006-03-24;10;7;25;46;30;10;2;0;0
2006-03-24;35;15;9;11;24;8;5;0;0
2006-03-24;10;44;32;8;27;5;9;0;0
2006-03-24;17;47;28;33;35;4;9;0;65117842
2006-03-31;38;14;45;39;2;9;8;0;0
2006-03-31;4;30;38;37;41;10;9;0;0
2006-03-31;47;26;1;42;7;1;2;0;0
2006-03-31;27;26;33;32;2;11;6;0;0
2006-03-31;50;3;45;20;31;7;6;1;75753123
2006-04-08;46;14;39;32;11;9;6;0;0
2006-04-08;34;7;40;26;29;6;3;0;0
2006-04-08;25;32;41;1;23;5;12;0;0
2006-04-08;12;33;24;22;25;3;7;0;0
2006-04-08;26;15;32;14;1;7;3;0;24977577
2006-04-14;2;8;34;39;31;7;12;0;0
2006-04-14;26;7;24;14;9;12;7;0;0
2006-04-14;24;11;42;14;19;10;7;0;0
2006-04-14;22;33;41;13;5;1;8;0;0
2006-04-14;34;35;26;16;49;6;2;1;25915863
2006-04-21;35;10;25;36;17;9;10;0;0
2006-04-21;36;26;16;15;22;1;11;0;0
2006-04-21;47;31;11;13;8;1;2;0;0
2006-04-21;50;18;48;40;47;2;9;0;0
2006-04-21;46;1;22;20;37;1;9;0;15000000
2006-04-28;14;42;17;10;22;7;2;0;0
2006-04-28;42;32;7;14;23;2;5;0;0
2006-04-28;31;17;5;2;16;7;1;0;0
2006-04-28;37;45;9;13;49;12;5;0;0
2006-04-28;17;5;33;22;10;7;5;4;25811931
2006-05-05;6;28;3;16;23;4;12;0;0
2006-05-05;38;39;18;7;10;6;3;0;0
2006-05-05;15;10;27;32;35;8;2;0;0
2006-05-05;46;18;45;24;16;7;11;0;0
2006-05-05;8;50;16;4;14;9;3;0;15000000
2006-05-19;20;8;48;44;27;3;5;0;0
2006-05-19;20;10;3;12;27;5;8;0;0
2006-05-19;23;36;2;25;16;3;4;0;0
2006-05-19;49;50;19;37;35;3;1;0;0
2006-05-19;49;34;25;3;5;8;5;1;15000000
2006-05-26;8;22;26;3;1;4;10;0;0
2006-05-26;47;46;16;21;30;7;1;0;0
2006-05-26;39;25;26;8;15;5;1;0;0
2006-05-26;49;21;13;28;22;9;8;0;0
2006-05-26;21;41;12;2;49;3;7;2;15000000
2006-06-10;39;37;23;16;41;8;11;0;0
2006-06-10;30;16;23;47;25;2;7;0;0
2006-06-10;30;9;49;50;24;9;6;0;0
2006-06-10;21;38;7;47;15;12;5;0;0
2006-06-10;5;35;11;22;38;7;8;0;69208821
2006-06-16;34;42;39;13;43;6;2;0;0
2006-06-16;26;13;18;49;47;1;8;0;0
2006-06-16;47;29;10;28;46;9;10;0;0
2006-06-16;30;25;8;4;35;10;7;0;0
2006-06-16;26;36;1;16;30;9;3;0;35662152
2006-06-23;49;46;4;3;11;5;6;0;0
2006-06-23;10;36;22;44;48;10;11;0;0
2006-06-23;15;4;30;20;37;5;6;0;0
2006-06-23;19;1;16;27;10;4;5;0;0
2006-06-23;44;30;9;21;43;9;1;0;46811687
2006-06-30;48;10;14;36;35;8;3;0;0
2006-06-30;25;15;29;24;5;3;4;0;0
2006-06-30;27;5;18;1;36;6;10;0;0
2006-06-30;39;36;14;1;29;6;9;0;0
2006-06-30;16;6;15;40;43;1;2;0;58765947
2006-07-04;5;45;23;42;20;9;5;0;0
2006-07-04;40;24;36;42;31;5;11;0;0
2006-07-04;42;10;25;43;30;7;5;0;0
2006-07-04;22;13;47;8;35;12;11;0;0
2006-07-04;13;12;29;50;44;4;5;0;15000000
2006-07-07;42;26;25;12;11;1;11;0;0
2006-07-07;6;21;11;4;50;1;12;0;0
2006-07-07;4;9;40;19;27;7;12;0;0
2006-07-07;37;17;42;16;23;9;11;0;0
2006-07-07;35;9;7;43;18;7;5;2;68408266
2006-07-14;21;8;7;3;18;5;10;0;0
2006-07-14;36;49;5;35;7;1;12;0;0
2006-07-14;43;23;28;5;49;6;7;0;0
2006-07-14;49;33;35;4;30;1;3;0;0
2006-07-14;1;31;7;17;36;8;2;0;15000000
2006-07-21;24;30;7;37;15;10;9;0;0
2006-07-21;33;45;44;20;29;12;2;0;0
2006-07-21;38;34;17;50;14;2;10;0;0
2006-07-21;27;15;49;8;2;4;2;0;0
2006-07-21;50;4;38;2;9;8;6;1;25042525
2006-07-28;25;23;6;21;5;3;2;0;0
2006-07-28;13;49;23;48;34;1;6;0;0
2006-07-28;46;41;31;45;40;11;1;0;0
2006-07-28;32;10;16;47;2;10;2;0;0
2006-07-28;3;43;29;8;12;6;7;0;15000000
2006-08-09;7;47;49;34;36;8;2;0;0
2006-08-09;2;18;40;39;46;11;8;0;0
2006-08-09;49;2;32;27;45;4;1;0;0
2006-08-09;42;22;15;13;50;9;12;0;0
2006-08-09;12;10;32;33;1;8;1;0;25256582
2006-08-12;7;25;20;42;17;6;9;0;0
2006-08-12;30;31;7;16;23;8;9;0;0
2006-08-12;19;30;1;31;39;4;10;0;0
2006-08-12;7;23;4;24;29;5;3;0;0
2006-08-12;47;36;17;16;18;1;2;0;26982938
2006-08-18;34;36;48;12;15;4;11;0;0
2006-08-18;2;26;4;23;12;5;6;0;0
2006-08-18;11;19;6;44;32;6;12;0;0
2006-08-18;47;11;45;29;5;11;2;0;0
2006-08-18;37;40;50;12;39;1;2;0;45929071
2006-08-25;25;11;23;50;49;12;9;0;0
2006-08-25;8;10;48;31;36;5;2;0;0
2006-08-25;15;48;7;6;34;8;3;0;0
2006-08-25;12;20;45;32;36;12;3;0;0
2006-08-25;47;10;28;48;40;8;6;1;57414511
2006-09-06;24;37;22;21;46;12;9;0;0
2006-09-06;27;19;3;7;33;12;3;0;0
2006-09-06;50;32;47;42;19;10;2;0;0
2006-09-06;44;15;49;30;2;3;7;0;0
2006-09-06;3;34;39;15;12;4;6;0;25187106
2006-09-15;8;50;34;18;43;8;11;0;0
2006-09-15;27;35;47;34;25;11;6;0;0
2006-09-15;37;31;45;46;4;6;12;0;0
2006-09-15;3;19;17;40;4;11;2;0;0
2006-09-15;10;49;26;6;16;7;9;0;35980458
2006-09-22;12;42;23;37;17;4;3;0;0
2006-09-22;15;34;37;31;44;8;1;0;0
2006-09-22;26;18;6;25;7;6;7;0;0
2006-09-22;17;40;32;41;27;3;12;0;0
2006-09-22;30;45;49;29;10;8;3;0;47213250
2006-09-29;4;15;23;20;18;5;3;0;0
2006-09-29;7;41;29;45;28;3;5;0;0
2006-09-29;12;34;19;49;28;11;9;0;0
2006-09-29;33;35;36;29;47;11;1;0;0
2006-09-29;1;3;24;6;18;5;8;0;59132969
2006-10-02;40;43;20;17;13;9;3;0;0
2006-10-02;13;42;44;1;21;7;11;0;0
2006-10-02;2;6;35;19;26;8;10;0;0
2006-10-02;7;15;37;34;8;5;12;0;0
2006-10-02;5;38;6;48;50;6;7;0;15000000
2006-10-03;44;10;49;9;5;11;12;0;0
2006-10-03;44;15;2;32;8;3;8;0;0
2006-10-03;10;29;6;23;43;5;4;0;0
2006-10-03;29;16;49;10;50;8;1;0;0
2006-10-03;1;33;21;45;49;4;8;0;39080314
2006-10-11;17;30;18;3;23;11;2;0;0
2006-10-11;1;17;19;43;38;12;10;0;0
2006-10-11;32;24;15;49;36;8;9;0;0
2006-10-11;16;10;13;42;23;2;9;0;0
2006-10-11;36;30;14;27;21;2;3;0;153564446
2006-10-13;46;28;47;25;39;10;5;0;0
2006-10-13;3;28;44;31;37;9;12;0;0
2006-10-13;5;43;21;49;46;2;7;0;0
2006-10-13;2;10;18;12;39;5;1;0;0
2006-10-13;2;32;38;41;25;5;3;0;82724345
2006-10-20;49;10;26;30;24;6;11;0;0
2006-10-20;9;6;25;15;50;7;8;0;0
2006-10-20;37;32;4;44;49;7;2;0;0
2006-10-20;50;41;18;12;7;6;5;0;0
2006-10-20;10;34;47;19;45;6;3;0;96837646
2006-10-27;44;28;22;17;19;8;9;0;0
2006-10-27;15;8;24;33;16;1;4;0;0
2006-10-27;3;48;47;46;2;3;1;0;0
2006-10-27;9;3;31;27;50;4;2;0;0
2006-10-27;3;50;44;4;8;8;7;0;113230830
2006-11-08;27;16;47;45;21;5;6;0;0
2006-11-08;40;17;14;26;19;8;9;0;0
2006-11-08;1;4;29;32;50;8;2;0;0
2006-11-08;28;36;18;15;30;9;12;0;0
2006-11-08;47;31;46;28;27;5;2;0;35197614
2006-11-17;17;9;41;8;35;7;3;0;0
2006-11-17;27;18;22;25;49;12;2;0;0
2006-11-17;34;15;20;11;36;4;2;0;0
2006-11-17;48;8;30;34;43;2;5;0;0
2006-11-17;36;12;33;22;32;2;6;0;183109057
2006-11-24;48;36;35;9;29;11;10;0;0
2006-11-24;28;34;21;49;48;3;7;0;0
2006-11-24;5;30;1;22;23;11;1;0;0
2006-11-24;11;6;37;49;48;7;11;0;0
2006-11-24;8;5;40;25;17;5;1;2;15000000
2006-12-05;19;26;41;42;8;11;6;0;0
2006-12-05;50;49;31;8;41;6;1;0;0
2006-12-05;18;5;24;35;6;4;5;0;0
2006-12-05;18;15;20;36;48;6;1;0;0
2006-12-05;23;5;20;34;50;1;5;2;25640375
2006-12-15;37;34;11;6;17;3;10;0;0
2006-12-15;29;50;37;19;33;8;9;0;0
2006-12-15;44;38;35;19;18;11;10;0;0
2006-12-15;46;19;3;27;28;8;10;0;0
2006-12-15;35;37;9;42;23;3;7;0;39640847
2006-12-22;26;10;19;50;3;2;4;0;0
2006-12-22;10;46;5;20;40;3;6;0;0
2006-12-22;10;39;4;7;45;8;9;0;0
2006-12-22;34;30;37;1;42;8;2;0;0
2006-12-22;20;11;43;9;38;2;3;0;53119776
2006-12-29;4;3;39;13;18;4;6;0;0
2006-12-29;36;48;16;17;29;5;6;0;0
2006-12-29;38;1;29;48;30;6;2;0;0
2006-12-29;14;7;1;5;44;1;12;0;0
2006-12-29;14;9;6;13;35;3;4;0;66983488
2007-01-06;49;5;27;29;10;1;10;0;0
2007-01-06;23;40;38;49;47;5;2;0;0
2007-01-06;14;36;45;37;35;3;11;0;0
2007-01-06;9;29;48;31;15;3;12;0;0
2007-01-06;22;41;42;37;6;6;9;1;15000000
2007-01-19;24;5;30;19;28;8;12;0;0
2007-01-19;40;6;11;30;38;10;8;0;0
2007-01-19;10;50;45;48;29;2;12;0;0
2007-01-19;37;34;45;14;4;2;1;0;0
2007-01-19;27;5;13;33;42;4;2;1;15000000
2007-01-26;12;2;45;31;35;11;4;0;0
2007-01-26;21;36;46;16;47;4;12;0;0
2007-01-26;21;30;27;12;43;4;10;0;0
2007-01-26;29;36;30;44;19;10;11;0;0
2007-01-26;38;11;23;15;30;4;9;0;15000000
2007-02-02;32;1;8;3;7;5;3;0;0
2007-02-02;11;25;45;3;34;1;5;0;0
2007-02-02;46;33;32;23;11;12;7;0;0
2007-02-02;20;24;49;18;9;4;1;0;0
2007-02-02;36;14;27;23;30;1;6;1;27173863
2007-02-03;39;12;22;46;17;12;10;0;0
2007-02-03;2;25;10;49;14;7;10;0;0
2007-02-03;29;1;38;2;26;12;10;0;0
2007-02-03;32;3;37;29;8;7;10;0;0
2007-02-03;3;16;48;34;38;8;5;2;42201702
2007-02-11;39;17;46;10;5;4;8;0;0
2007-02-11;12;31;36;16;37;10;11;0;0
2007-02-11;42;38;24;31;29;3;4;0;0
2007-02-11;49;38;41;3;25;6;11;0;0
2007-02-11;40;16;3;19;18;2;1;1;41136124
2007-02-16;32;4;29;1;19;3;1;0;0
2007-02-16;42;36;35;23;8;1;2;0;0
2007-02-16;18;12;27;42;5;2;3;0;0
2007-02-16;23;27;17;16;31;11;5;0;0
2007-02-16;19;39;20;50;8;6;9;0;15000000
2007-02-23;47;15;37;26;17;4;5;0;0
2007-02-23;8;18;19;26;9;5;7;0;0
2007-02-23;44;29;7;24;19;1;12;0;0
2007-02-23;34;6;29;28;33;10;12;0;0
2007-02-23;20;2;22;18;15;5;2;0;28224030
2007-03-08;7;18;48;14;4;4;12;0;0
2007-03-08;13;37;4;11;10;11;5;0;0
2007-03-08;13;46;34;42;41;7;3;0;0
2007-03-08;40;45;50;39;26;4;8;0;0
2007-03-08;41;33;37;30;10;1;8;0;39185012
2007-03-16;8;28;32;20;6;5;4;0;0
2007-03-16;2;29;47;35;30;3;6;0;0
2007-03-16;1;19;50;14;43;11;4;0;0
2007-03-16;27;8;19;12;32;7;3;0;0
2007-03-16;45;4;31;49;14;9;4;0;27699321
2007-03-23;38;32;31;5;43;5;6;0;0
2007-03-23;42;21;35;38;34;7;4;0;0
2007-03-23;32;12;46;43;24;4;6;0;0
2007-03-23;19;40;12;46;29;7;4;0;0
2007-03-23;43;17;5;40;13;3;1;1;41023864
2007-03-30;42;5;47;6;20;9;8;0;0
2007-03-30;2;17;18;49;47;11;3;0;0
2007-03-30;4;25;2;19;42;4;3;0;0
2007-03-30;45;32;11;44;15;10;5;0;0
2007-03-30;19;9;46;17;41;1;8;0;15000000
2007-04-05;16;32;39;41;7;3;6;0;0
2007-04-05;1;38;37;23;27;5;3;0;0
2007-04-05;45;27;41;29;50;6;4;0;0
2007-04-05;42;48;11;18;14;5;12;0;0
2007-04-05;17;41;35;6;45;1;5;0;39605256
2007-04-13;47;22;43;11;8;1;10;0;0
2007-04-13;34;20;42;25;35;2;9;0;0
2007-04-13;13;49;8;42;5;8;12;0;0
2007-04-13;22;16;2;12;48;6;4;0;0
2007-04-13;20;41;38;7;25;3;7;1;15000000
2007-04-20;19;42;50;29;17;4;8;0;0
2007-04-20;27;45;8;22;3;8;12;0;0
2007-04-20;19;9;24;13;10;2;11;0;0
2007-04-20;12;17;39;19;24;8;7;0;0
2007-04-20;41;26;32;45;23;3;7;0;15000000
2007-04-27;15;23;14;20;4;8;12;0;0
2007-04-27;35;26;33;50;37;1;12;0;0
2007-04-27;1;43;17;45;20;6;2;0;0
2007-04-27;44;20;12;21;47;12;3;0;0
2007-04-27;44;18;7;36;27;1;2;0;26851565
2007-05-01;17;3;23;7;28;11;1;0;0
2007-05-01;50;18;43;29;16;5;6;0;0
2007-05-01;4;43;41;22;18;8;1;0;0
2007-05-01;47;10;28;46;16;9;3;0;0
2007-05-01;17;45;36;29;19;6;5;2;78312155
2007-05-10;6;38;47;15;35;3;6;0;0
2007-05-10;10;13;29;35;45;6;10;0;0
2007-05-10;16;44;9;28;29;9;3;0;0
2007-05-10;13;35;40;16;37;10;8;0;0
2007-05-10;20;27;35;44;11;5;2;5;15000000
2007-05-18;8;25;40;9;31;1;8;0;0
2007-05-18;27;16;19;34;39;5;3;0;0
2007-05-18;37;44;2;13;17;10;11;0;0
2007-05-18;18;38;2;39;37;7;4;0;0
2007-05-18;49;37;34;26;39;2;6;1;15000000
2007-05-25;50;26;49;20;39;3;6;0;0
2007-05-25;22;14;12;10;26;4;7;0;0
2007-05-25;19;2;47;21;37;6;3;0;0
2007-05-25;40;5;32;3;10;8;2;0;0
2007-05-25;49;26;50;29;25;8;7;1;15000000
2007-06-04;14;34;23;27;38;3;9;0;0
2007-06-04;30;4;48;28;37;3;4;0;0
2007-06-04;2;25;41;46;33;4;7;0;0
2007-06-04;31;27;35;24;40;8;9;0;0
2007-06-04;41;48;29;23;15;6;3;1;26945909
2007-06-07;50;15;11;34;19;7;9;0;0
2007-06-07;33;36;8;5;1;6;2;0;0
2007-06-07;6;48;1;39;8;4;8;0;0
2007-06-07;3;19;27;28;49;2;1;0;0
2007-06-07;39;41;4;19;5;9;8;0;39898280
2007-06-15;33;35;19;4;44;5;11;0;0
2007-06-15;31;4;3;16;32;4;9;0;0
2007-06-15;22;42;21;47;16;11;2;0;0
2007-06-15;47;12;46;49;39;11;7;0;0
2007-06-15;5;14;40;7;21;3;8;1;26938896
2007-06-22;36;15;43;10;7;8;7;0;0
2007-06-22;19;2;41;5;14;3;11;0;0
2007-06-22;13;25;24;26;20;2;5;0;0
2007-06-22;41;31;46;3;32;6;1;0;0
2007-06-22;22;17;16;11;34;5;6;0;15000000
2007-06-29;41;26;28;37;29;1;6;0;0
2007-06-29;42;16;11;4;34;11;1;0;0
2007-06-29;8;7;22;3;25;8;7;0;0
2007-06-29;49;50;15;25;28;7;9;0;0
2007-06-29;28;8;33;45;12;1;3;0;26816658
2007-07-09;8;41;22;24;30;12;4;0;0
2007-07-09;46;16;37;27;20;6;3;0;0
2007-07-09;35;14;33;43;49;11;5;0;0
2007-07-09;30;26;49;7;5;12;10;0;0
2007-07-09;42;3;34;2;33;5;3;1;15000000
2007-07-12;31;13;1;34;18;10;8;0;0
2007-07-12;23;27;44;5;32;2;8;0;0
2007-07-12;47;17;30;12;28;8;5;0;0
2007-07-12;23;35;9;27;30;3;5;0;0
2007-07-12;48;43;4;2;32;1;7;1;27552424
2007-07-13;24;12;30;1;11;8;1;0;0
2007-07-13;24;19;6;34;20;1;12;0;0
2007-07-13;10;44;28;17;5;10;9;0;0
2007-07-13;10;36;16;21;45;8;3;0;0
2007-07-13;13;9;31;15;48;6;3;1;56945074
2007-07-20;26;2;34;47;22;5;11;0;0
2007-07-20;28;30;23;20;19;4;10;0;0
2007-07-20;44;28;35;16;30;8;3;0;0
2007-07-20;11;13;12;22;24;6;1;0;0
2007-07-20;50;26;10;21;25;9;4;0;15000000
2007-07-27;1;26;30;50;41;4;12;0;0
2007-07-27;46;21;3;17;41;9;8;0;0
2007-07-27;31;40;27;44;24;7;1;0;0
2007-07-27;10;6;29;20;32;5;2;0;0
2007-07-27;4;29;21;1;41;8;7;0;27731341
2007-08-06;32;39;29;18;4;11;5;0;0
2007-08-06;26;12;34;20;43;7;5;0;0
2007-08-06;4;35;45;33;20;9;3;0;0
2007-08-06;19;41;50;16;44;6;10;0;0
2007-08-06;15;17;25;45;1;8;2;0;15000000
2007-08-17;28;37;14;25;23;12;11;0;0
2007-08-17;19;24;17;13;15;10;5;0;0
2007-08-17;18;41;14;40;39;12;6;0;0
2007-08-17;28;49;35;45;11;8;3;0;0
2007-08-17;2;13;42;3;38;7;8;0;15000000
2007-08-24;42;50;17;41;12;4;2;0;0
2007-08-24;15;50;17;24;30;8;6;0;0
2007-08-24;45;41;46;19;12;10;12;0;0
2007-08-24;46;5;12;48;39;4;10;0;0
2007-08-24;16;3;42;1;48;2;3;0;26677818
2007-08-31;6;11;28;47;49;3;10;0;0
2007-08-31;6;37;47;42;39;11;7;0;0
2007-08-31;38;47;11;17;24;7;8;0;0
2007-08-31;33;9;29;48;26;8;12;0;0
2007-08-31;22;37;23;18;6;6;5;1;39496528
2007-09-02;21;25;48;3;24;11;3;0;0
2007-09-02;38;23;3;6;4;3;8;0;0
2007-09-02;12;31;32;22;15;11;9;0;0
2007-09-02;22;20;15;21;13;4;3;0;0
2007-09-02;36;16;46;30;14;8;2;1;100000000
2007-09-03;22;21;16;3;34;6;9;0;0
2007-09-03;40;8;46;20;21;10;4;0;0
2007-09-03;40;14;48;44;28;10;3;0;0
