Date;N1;N2;N3;N4;N5;E1;E2;Winner;Gain;Result
2021-11-09;11;19;21;31;46;02;05;0;0;lose
2021-11-09;08;09;17;27;35;07;12;0;0;lose
2021-11-09;11;21;24;25;32;08;12;0;0;lose
2021-11-09;07;20;31;44;50;07;08;0;0;lose
2021-11-05;2;12;25;30;41;8;11;0;79000000;win
2021-11-05;11;16;36;44;47;10;11;0;0;lose
2021-11-05;11;26;34;35;42;05;09;0;0;lose
2021-11-05;11;16;21;31;41;07;08;0;0;lose
2021-11-05;09;19;20;35;47;02;11;0;0;lose
2021-11-02;2;3;17;29;43;1;4;0;66000000;win
2021-11-02;08;25;35;39;46;03;12;0;0;lose
2021-11-02;04;05;30;39;40;06;09;0;0;lose
2021-11-02;12;15;30;46;50;05;10;0;0;lose
2021-11-02;21;23;24;31;41;06;09;0;0;lose
2021-10-29;10;15;28;32;49;3;9;0;54000000;win
2021-10-29;19;23;30;34;36;05;07;0;0;lose
2021-10-29;12;13;15;23;33;06;11;0;0;lose
2021-10-29;04;09;15;20;33;08;12;0;0;lose
2021-10-29;07;08;15;24;34;02;06;0;0;lose
2021-10-26;12;15;20;42;44;1;2;0;40000000;win
2021-10-26;07;27;30;44;47;02;06;0;0;lose
2021-10-26;04;18;25;31;32;05;08;0;0;lose
2021-10-26;11;12;18;36;48;04;05;0;0;lose
2021-10-26;09;23;25;31;32;05;06;0;0;lose
2021-10-22;12;17;22;33;39;2;12;0;30000000;win
2021-10-22;11;14;33;38;42;06;11;0;0;lose
2021-10-22;10;13;23;31;43;06;07;0;0;lose
2021-10-22;06;23;30;46;48;02;04;0;0;lose
2021-10-22;01;02;11;12;28;05;07;0;0;lose
2021-10-19;4;20;36;40;41;1;6;0;17000000;win
2021-10-19;01;03;16;37;40;06;10;0;0;lose
2021-10-19;08;28;34;46;49;04;07;0;0;lose
2021-10-19;04;06;11;13;41;02;10;0;0;lose
2021-10-19;06;17;22;28;42;06;12;0;0;lose
2021-10-15;21;26;31;34;49;2;5;1;220000000;win
2021-10-15;04;07;11;15;42;03;08;0;0;lose
2021-10-15;03;04;23;43;47;09;12;0;0;lose
2021-10-15;06;09;26;35;39;04;05;0;0;lose
2021-10-15;02;15;26;38;49;01;08;0;0;lose
2021-10-12;6;13;22;45;49;10;11;0;220000000;win
2021-10-12;06;13;16;35;41;06;11;0;0;lose
2021-10-12;17;23;29;38;46;02;03;0;0;lose
2021-10-12;03;24;34;45;50;09;11;0;0;lose
2021-10-12;04;20;21;33;49;03;06;0;0;lose
2021-10-08;1;10;23;42;46;3;5;0;202000000;win
2021-10-08;04;09;36;40;43;05;10;0;0;lose
2021-10-08;15;18;25;27;36;01;08;0;0;lose
2021-10-08;18;24;27;30;41;04;09;0;0;lose
2021-10-08;12;15;32;39;50;09;10;0;0;lose
2021-10-05;11;13;14;36;45;7;9;0;178000000;win
2021-10-05;15;23;37;47;48;02;08;0;0;lose
2021-10-05;05;06;16;29;32;06;11;0;0;lose
2021-10-05;10;25;26;40;41;01;11;0;0;lose
2021-10-05;11;16;25;38;39;03;07;0;0;lose
2021-10-01;1;15;19;26;48;6;12;0;163000000;win
2021-10-01;10;21;24;26;34;06;10;0;0;lose
2021-10-01;12;14;15;18;21;01;11;0;0;lose
2021-10-01;07;13;17;31;43;03;04;0;0;lose
2021-10-01;02;05;16;25;49;03;06;0;0;lose
2021-09-28;6;7;12;33;39;1;7;0;143000000;win
2021-09-28;19;25;26;45;46;05;09;0;0;lose
2021-09-28;21;31;33;36;49;01;12;0;0;lose
2021-09-28;13;30;33;34;49;08;10;0;0;lose
2021-09-28;08;14;21;29;38;06;10;0;0;lose
2021-09-24;2;12;20;27;41;10;12;0;130000000;win
2021-09-24;06;24;30;31;36;05;06;0;0;lose
2021-09-24;01;11;22;26;28;06;08;0;0;lose
2021-09-24;10;13;35;42;43;07;12;0;0;lose
2021-09-24;07;13;25;38;39;05;10;0;0;lose
2021-09-21;20;25;26;30;38;2;8;0;49000000;win
2021-09-21;09;11;42;45;50;02;04;0;0;lose
2021-09-21;01;02;09;22;32;02;03;0;0;lose
2021-09-21;01;14;16;17;42;08;10;0;0;lose
2021-09-21;13;16;18;31;44;01;07;0;0;lose
2021-09-17;5;7;8;10;34;1;9;0;39000000;win
2021-09-17;02;14;22;33;49;03;12;0;0;lose
2021-09-17;07;11;14;18;25;02;04;0;0;lose
2021-09-17;09;10;16;18;42;03;06;0;0;lose
2021-09-17;22;24;26;32;40;08;11;0;0;lose
2021-09-14;12;18;35;38;45;2;8;0;26000000;win
2021-09-14;09;24;25;32;42;08;09;0;0;lose
2021-09-14;03;16;29;33;41;06;07;0;0;lose
2021-09-14;15;24;31;33;36;08;10;0;0;lose
2021-09-14;09;24;33;36;43;06;09;0;0;lose
2021-09-10;1;6;7;18;28;2;8;0;0;win
2021-09-10;10;11;27;29;47;02;09;0;0;lose
2021-09-10;09;13;22;34;49;08;11;0;0;lose
2021-09-10;01;06;17;22;28;04;08;0;0;lose
2021-09-10;04;13;38;40;47;09;10;0;0;lose
2021-09-07;7;19;35;42;43;7;9;1;26000000;win
2021-09-07;01;07;14;43;48;02;07;0;0;lose
2021-09-07;14;18;23;29;37;03;12;0;0;lose
2021-09-07;07;11;22;26;43;10;11;0;0;lose
2021-09-07;01;04;11;16;46;04;12;0;0;lose
2021-09-03;5;7;13;29;35;3;7;0;0;win
2021-09-03;20;24;27;33;39;02;09;0;0;lose
2021-09-03;02;15;29;41;48;03;08;0;0;lose
2021-09-03;09;13;18;36;37;10;12;0;0;lose
2021-09-03;02;07;17;37;44;08;11;0;0;lose
2021-08-31;5;13;17;32;43;2;10;3;64000000;win
2021-08-31;10;12;38;46;50;05;08;0;0;lose
2021-08-31;06;07;14;42;47;05;12;0;0;lose
2021-08-31;11;16;17;36;41;02;10;0;0;lose
2021-08-31;06;13;14;44;46;06;12;0;0;lose
2021-08-27;2;3;31;46;50;8;12;0;53000000;win
2021-08-27;11;13;15;26;28;01;09;0;0;lose
2021-08-27;29;30;31;32;48;03;11;0;0;lose
2021-08-27;01;21;25;26;45;01;05;0;0;lose
2021-08-27;09;16;28;46;47;07;12;0;0;lose
2021-08-24;19;21;36;44;50;3;10;0;39000000;win
2021-08-24;01;07;09;20;23;01;12;0;0;lose
2021-08-24;09;24;35;37;46;01;06;0;0;lose
2021-08-24;02;28;38;44;49;02;05;0;0;lose
2021-08-24;01;14;19;38;40;06;10;0;0;lose
2021-08-20;3;9;19;20;23;9;11;0;29000000;win
2021-08-20;15;22;25;31;38;02;10;0;0;lose
2021-08-20;07;14;19;23;49;05;06;0;0;lose
2021-08-20;03;04;09;13;16;02;12;0;0;lose
2021-08-20;08;28;37;40;41;08;10;0;0;lose
2021-08-17;12;31;41;42;47;4;6;0;0;win
2021-08-17;06;17;22;37;46;04;09;0;0;lose
2021-08-17;04;23;29;40;41;04;05;0;0;lose
2021-08-17;15;20;23;33;37;02;06;0;0;lose
2021-08-17;03;09;15;22;44;10;11;0;0;lose
2021-08-13;6;12;44;47;49;8;12;1;110000000;win
2021-08-13;05;22;25;35;46;05;07;0;0;lose
2021-08-13;03;11;23;37;39;02;11;0;0;lose
2021-08-13;06;16;30;41;44;07;12;0;0;lose
2021-08-13;03;20;28;39;46;06;10;0;0;lose
2021-08-10;9;37;47;48;49;2;7;0;94000000;win
2021-08-10;10;19;25;47;48;06;11;0;0;lose
2021-08-10;01;11;14;24;47;07;11;0;0;lose
2021-08-10;17;20;26;38;48;09;11;0;0;lose
2021-08-10;20;31;32;39;46;01;07;0;0;lose
2021-08-06;7;14;21;26;32;4;12;0;84000000;win
2021-08-06;04;17;23;47;48;01;07;0;0;lose
2021-08-06;15;17;23;45;50;06;12;0;0;lose
2021-08-06;07;08;32;41;47;01;02;0;0;lose
2021-08-06;02;13;17;40;44;03;08;0;0;lose
2021-08-03;17;21;23;45;46;7;11;0;71000000;win
2021-08-03;01;19;36;40;44;02;03;0;0;lose
2021-08-03;06;07;23;33;47;01;06;0;0;lose
2021-08-03;01;10;15;40;43;03;10;0;0;lose
2021-08-03;11;26;32;34;50;07;08;0;0;lose
2021-07-30;10;23;33;35;37;5;10;0;62000000;win
2021-07-30;12;23;27;33;47;07;08;0;0;lose
2021-07-30;06;17;19;27;49;08;12;0;0;lose
2021-07-30;23;36;41;42;43;03;10;0;0;lose
2021-07-30;06;25;35;46;50;07;12;0;0;lose
2021-07-27;5;9;19;21;25;10;12;0;48000000;win
2021-07-27;01;03;32;37;41;10;12;0;0;lose
2021-07-27;06;07;19;38;41;01;09;0;0;lose
2021-07-27;24;29;30;47;49;04;12;0;0;lose
2021-07-27;07;12;13;17;45;05;08;0;0;lose
2021-07-23;23;24;26;34;50;2;4;0;39000000;win
2021-07-23;01;12;13;36;50;07;11;0;0;lose
2021-07-23;02;06;22;31;32;03;12;0;0;lose
2021-07-23;03;11;16;26;32;08;09;0;0;lose
2021-07-23;03;27;28;38;47;07;11;0;0;lose
2021-07-20;3;12;19;41;48;6;9;0;26000000;win
2021-07-20;01;07;09;15;37;05;08;0;0;lose
2021-07-20;01;20;24;30;31;09;11;0;0;lose
2021-07-20;06;10;13;24;50;08;10;0;0;lose
2021-07-20;24;27;30;36;45;02;10;0;0;lose
2021-07-16;5;16;42;47;49;3;11;0;17000000;win
2021-07-16;07;14;21;25;27;01;02;0;0;lose
2021-07-16;15;16;17;19;31;03;12;0;0;lose
2021-07-16;03;20;26;37;46;03;04;0;0;lose
2021-07-16;03;07;09;15;28;10;11;0;0;lose
2021-07-13;5;6;8;11;22;3;4;1;26000000;win
2021-07-13;01;07;24;26;30;10;12;0;0;lose
2021-07-13;19;20;32;42;49;06;10;0;0;lose
2021-07-13;10;15;19;43;44;05;09;0;0;lose
2021-07-13;02;18;26;27;43;02;11;0;0;lose
2021-07-09;6;19;36;37;49;4;11;0;17000000;win
2021-07-09;15;19;21;35;47;01;02;0;0;lose
2021-07-09;11;16;24;29;49;02;05;0;0;lose
2021-07-09;04;06;15;18;45;06;12;0;0;lose
2021-07-09;02;10;26;32;44;05;06;0;0;lose
2021-07-06;2;5;21;27;42;9;11;1;17000000;win
2021-07-06;12;13;15;25;27;05;11;0;0;lose
2021-07-06;04;13;17;24;36;11;12;0;0;lose
2021-07-06;21;30;36;43;50;04;09;0;0;lose
2021-07-06;03;05;24;27;38;03;12;0;0;lose
2021-07-02;9;14;29;38;49;7;10;1;77000000;win
2021-07-02;10;18;22;37;45;06;10;0;0;lose
2021-07-02;13;30;34;45;50;06;12;0;0;lose
2021-07-02;07;16;26;32;43;03;08;0;0;lose
2021-07-02;06;10;21;46;48;10;11;0;0;lose
2021-06-29;6;12;20;24;48;5;6;0;64000000;win
2021-06-29;14;17;19;21;40;05;07;0;0;lose
2021-06-29;03;11;25;26;39;02;05;0;0;lose
2021-06-29;07;22;39;45;49;06;11;0;0;lose
2021-06-29;17;36;46;49;50;04;06;0;0;lose
2021-06-25;1;29;30;33;36;3;12;0;54000000;win
2021-06-25;03;05;15;28;44;04;09;0;0;lose
2021-06-25;17;24;25;38;42;09;12;0;0;lose
2021-06-25;03;06;09;18;43;05;06;0;0;lose
2021-06-25;03;38;39;40;45;06;10;0;0;lose
2021-06-22;6;24;26;27;41;3;8;0;40000000;win
2021-06-22;12;16;28;35;48;05;06;0;0;lose
2021-06-22;15;28;41;45;46;01;02;0;0;lose
2021-06-22;09;12;24;29;43;05;10;0;0;lose
2021-06-22;35;36;44;47;50;03;09;0;0;lose
2021-06-18;11;20;27;30;41;3;5;0;30000000;win
2021-06-18;14;18;30;32;41;06;11;0;0;lose
2021-06-18;21;23;32;34;36;11;12;0;0;lose
2021-06-18;02;05;19;31;43;02;12;0;0;lose
2021-06-18;12;14;23;26;43;02;11;0;0;lose
2021-06-15;11;21;26;30;31;2;3;0;17000000;win
2021-06-15;01;10;20;40;45;07;10;0;0;lose
2021-06-15;32;42;44;45;46;08;11;0;0;lose
2021-06-15;04;14;24;46;48;05;06;0;0;lose
2021-06-15;05;31;36;40;45;03;09;0;0;lose
2021-06-11;9;17;21;33;39;7;11;1;30000000;win
2021-06-11;07;15;27;40;47;09;10;0;0;lose
2021-06-11;06;07;22;33;37;04;11;0;0;lose
2021-06-11;24;37;38;44;45;06;10;0;0;lose
2021-06-11;10;36;42;47;48;08;09;0;0;lose
2021-06-08;2;11;26;36;47;7;9;0;17000000;win
2021-06-08;07;14;18;34;49;02;07;0;0;lose
2021-06-08;02;04;15;19;38;03;07;0;0;lose
2021-06-08;03;16;18;25;32;01;06;0;0;lose
2021-06-08;06;27;32;34;48;05;10;0;0;lose
2021-06-04;7;20;36;40;46;2;4;1;130000000;win
2021-06-04;01;24;36;37;45;06;12;0;0;lose
2021-06-04;37;42;44;45;49;01;11;0;0;lose
2021-06-04;24;31;38;42;50;05;11;0;0;lose
2021-06-04;12;31;42;47;49;08;10;0;0;lose
2021-06-01;3;10;26;35;44;6;7;0;88000000;win
2021-06-01;16;20;29;34;42;03;05;0;0;lose
2021-06-01;11;25;32;34;40;04;07;0;0;lose
2021-06-01;21;41;44;46;47;03;06;0;0;lose
2021-06-01;10;23;29;45;47;10;12;0;0;lose
2021-05-28;11;13;16;34;40;1;12;0;78000000;win
2021-05-28;14;19;32;41;47;01;05;0;0;lose
2021-05-28;08;12;13;27;38;07;11;0;0;lose
2021-05-28;11;17;27;42;48;07;10;0;0;lose
2021-05-28;02;05;06;39;43;01;12;0;0;lose
2021-05-25;1;21;26;30;38;2;8;0;65000000;win
2021-05-25;10;28;29;34;42;04;09;0;0;lose
2021-05-25;21;23;35;44;49;01;08;0;0;lose
2021-05-25;09;36;40;41;42;02;04;0;0;lose
2021-05-25;08;21;26;28;33;05;07;0;0;lose
2021-05-21;2;9;13;15;35;3;10;0;55000000;win
2021-05-21;03;13;14;32;43;03;05;0;0;lose
2021-05-21;09;12;17;26;46;01;09;0;0;lose
2021-05-21;09;11;19;37;47;09;11;0;0;lose
2021-05-21;13;20;25;37;45;02;11;0;0;lose
2021-05-18;5;13;38;39;40;4;12;0;41000000;win
2021-05-18;07;08;22;33;39;03;10;0;0;lose
2021-05-18;08;11;26;28;29;06;07;0;0;lose
2021-05-18;18;23;26;37;39;04;12;0;0;lose
2021-05-18;07;10;17;24;26;04;10;0;0;lose
2021-05-14;6;16;18;29;38;6;11;0;30000000;win
2021-05-14;26;29;40;42;50;01;08;0;0;lose
2021-05-14;04;13;16;17;18;04;06;0;0;lose
2021-05-14;03;10;35;47;48;01;05;0;0;lose
2021-05-14;09;20;38;45;50;06;09;0;0;lose
2021-05-11;14;25;34;43;46;5;6;0;17000000;win
2021-05-11;03;36;44;47;48;04;07;0;0;lose
2021-05-11;12;20;29;44;50;02;09;0;0;lose
2021-05-11;04;09;21;24;46;05;07;0;0;lose
2021-05-11;01;17;32;38;43;01;12;0;0;lose
2021-05-07;14;22;33;38;47;8;9;1;69000000;win
2021-05-07;11;19;38;40;43;02;10;0;0;lose
2021-05-07;04;11;16;40;49;09;12;0;0;lose
2021-05-07;16;20;26;33;34;09;12;0;0;lose
2021-05-07;11;14;17;19;29;01;05;0;0;lose
2021-05-04;3;10;13;28;46;4;11;0;53000000;win
2021-05-04;01;29;34;43;46;10;11;0;0;lose
2021-05-04;11;32;33;34;48;04;06;0;0;lose
2021-05-04;13;16;17;31;40;04;08;0;0;lose
2021-05-04;05;07;11;29;36;04;11;0;0;lose
2021-04-30;1;16;24;28;46;2;11;0;42000000;win
2021-04-30;09;10;12;26;43;05;07;0;0;lose
2021-04-30;06;16;20;37;48;03;06;0;0;lose
2021-04-30;11;16;25;27;28;03;10;0;0;lose
2021-04-30;30;35;42;43;48;05;06;0;0;lose
2021-04-27;13;14;24;35;49;1;10;0;26000000;win
2021-04-27;20;30;35;45;48;03;11;0;0;lose
2021-04-27;15;30;39;40;41;01;09;0;0;lose
2021-04-27;14;23;27;35;48;01;11;0;0;lose
2021-04-27;10;29;31;45;50;06;09;0;0;lose
2021-04-23;3;14;15;19;29;2;8;0;17000000;win
2021-04-23;13;36;42;46;48;05;07;0;0;lose
2021-04-23;06;21;22;47;48;01;07;0;0;lose
2021-04-23;12;20;43;48;49;03;04;0;0;lose
2021-04-23;24;31;42;44;49;05;08;0;0;lose
2021-04-20;5;17;28;41;46;10;11;1;69000000;win
2021-04-20;08;37;38;45;50;06;09;0;0;lose
2021-04-20;04;10;11;22;43;08;11;0;0;lose
2021-04-20;01;06;24;27;35;04;10;0;0;lose
2021-04-20;20;26;34;40;42;04;10;0;0;lose
2021-04-16;6;11;29;40;48;5;9;0;58000000;win
2021-04-16;24;31;32;33;40;02;09;0;0;lose
2021-04-16;06;08;22;27;48;08;12;0;0;lose
2021-04-16;10;16;22;24;50;04;08;0;0;lose
2021-04-16;06;21;38;45;46;05;09;0;0;lose
2021-04-13;16;20;31;47;50;2;8;0;42000000;win
2021-04-13;05;19;22;30;47;01;08;0;0;lose
2021-04-13;06;34;36;40;44;04;08;0;0;lose
2021-04-13;03;08;21;31;48;03;07;0;0;lose
2021-04-13;25;30;37;43;44;08;12;0;0;lose
2021-04-09;2;8;32;35;44;8;11;0;31000000;win
2021-04-09;21;43;48;49;50;05;06;0;0;lose
2021-04-09;21;23;34;36;45;09;10;0;0;lose
2021-04-09;08;30;33;39;50;02;12;0;0;lose
2021-04-09;04;07;08;22;44;01;09;0;0;lose
2021-04-06;2;21;37;38;50;7;8;0;17000000;win
2021-04-06;33;35;36;39;48;07;09;0;0;lose
2021-04-06;29;32;37;41;45;08;09;0;0;lose
2021-04-06;01;10;12;46;50;01;04;0;0;lose
2021-04-06;04;05;06;27;33;02;06;0;0;lose
2021-04-02;4;21;34;40;47;2;5;1;144000000;win
2021-04-02;23;27;28;29;45;03;07;0;0;lose
2021-04-02;04;10;17;22;35;01;12;0;0;lose
2021-04-02;11;19;32;39;40;01;12;0;0;lose
2021-04-02;14;16;26;37;50;05;11;0;0;lose
2021-03-30;24;27;28;29;42;4;8;0;125000000;win
2021-03-30;01;07;18;48;50;04;07;0;0;lose
2021-03-30;21;24;38;41;43;01;05;0;0;lose
2021-03-30;03;35;40;45;49;03;07;0;0;lose
2021-03-30;12;15;25;43;50;02;12;0;0;lose
2021-03-26;10;12;37;49;50;3;8;0;115000000;win
2021-03-26;10;16;29;34;45;07;09;0;0;lose
2021-03-26;17;30;34;39;43;03;07;0;0;lose
2021-03-26;17;23;38;46;47;05;11;0;0;lose
2021-03-26;03;11;15;18;30;05;09;0;0;lose
2021-03-23;2;26;29;36;49;3;9;0;97000000;win
2021-03-23;06;17;32;33;43;05;10;0;0;lose
2021-03-23;02;05;30;35;39;04;10;0;0;lose
2021-03-23;07;11;29;33;40;01;12;0;0;lose
2021-03-23;17;28;36;37;48;04;11;0;0;lose
2021-03-19;3;9;35;43;44;1;10;0;86000000;win
2021-03-19;04;42;44;45;46;05;10;0;0;lose
2021-03-19;19;21;23;33;38;03;09;0;0;lose
2021-03-19;08;13;24;26;41;01;11;0;0;lose
2021-03-19;13;36;39;45;50;05;12;0;0;lose
2021-03-16;23;25;32;35;47;2;6;0;71000000;win
2021-03-16;06;07;12;17;35;01;04;0;0;lose
2021-03-16;03;04;18;29;49;02;03;0;0;lose
2021-03-16;01;04;05;24;29;06;10;0;0;lose
2021-03-16;21;37;42;47;48;03;11;0;0;lose
2021-03-12;4;6;9;11;44;10;11;0;58000000;win
2021-03-12;08;12;35;40;50;01;02;0;0;lose
2021-03-12;06;11;39;41;45;08;11;0;0;lose
2021-03-12;04;18;24;30;46;01;06;0;0;lose
2021-03-12;05;24;32;38;45;02;09;0;0;lose
2021-03-09;1;16;21;32;33;11;12;0;43000000;win
2021-03-09;13;28;37;41;46;04;06;0;0;lose
2021-03-09;01;15;35;37;39;07;08;0;0;lose
2021-03-09;03;06;19;22;38;01;11;0;0;lose
2021-03-09;05;20;24;27;35;04;09;0;0;lose
2021-03-05;4;5;39;46;48;7;10;0;30000000;win
2021-03-05;02;34;43;44;46;02;05;0;0;lose
2021-03-05;03;15;29;32;45;02;12;0;0;lose
2021-03-05;06;23;43;46;48;01;05;0;0;lose
2021-03-05;02;14;26;30;31;06;07;0;0;lose
2021-03-02;2;19;24;26;49;6;7;0;17000000;win
2021-03-02;05;06;12;34;35;02;11;0;0;lose
2021-03-02;04;07;14;16;24;02;08;0;0;lose
2021-03-02;11;14;17;32;45;06;12;0;0;lose
2021-03-02;03;13;34;37;48;03;06;0;0;lose
2021-02-26;6;12;22;29;33;6;11;1;210000000;win
2021-02-26;02;04;26;38;39;01;07;0;0;lose
2021-02-26;17;20;24;25;42;02;07;0;0;lose
2021-02-26;19;20;41;47;50;06;10;0;0;lose
2021-02-26;01;25;42;45;47;01;09;0;0;lose
2021-02-23;9;18;30;39;45;1;3;0;210000000;win
2021-02-23;03;13;34;40;44;06;11;0;0;lose
2021-02-23;11;33;34;40;41;06;12;0;0;lose
2021-02-23;03;10;42;47;50;08;12;0;0;lose
2021-02-23;03;12;18;42;46;06;11;0;0;lose
2021-02-19;4;12;25;46;48;7;12;0;202000000;win
2021-02-19;16;17;24;27;42;02;04;0;0;lose
2021-02-19;02;18;19;32;47;01;03;0;0;lose
2021-02-19;02;04;18;22;42;02;07;0;0;lose
2021-02-19;27;28;43;44;49;11;12;0;0;lose
2021-02-16;5;9;25;29;30;6;7;0;179000000;win
2021-02-16;10;13;29;33;50;04;05;0;0;lose
2021-02-16;13;14;19;31;43;03;11;0;0;lose
2021-02-16;06;18;34;46;49;09;11;0;0;lose
2021-02-16;01;23;39;40;50;10;12;0;0;lose
2021-02-12;7;23;30;32;36;8;12;0;163000000;win
2021-02-12;01;03;08;25;45;05;07;0;0;lose
2021-02-12;03;16;34;48;49;01;04;0;0;lose
2021-02-12;06;15;25;39;50;05;11;0;0;lose
2021-02-12;18;21;31;38;45;11;12;0;0;lose
2021-02-09;5;10;24;31;37;9;10;0;144000000;win
2021-02-09;05;07;25;40;46;02;10;0;0;lose
2021-02-09;01;04;09;13;39;08;09;0;0;lose
2021-02-09;05;12;27;30;47;02;12;0;0;lose
2021-02-09;10;24;33;34;36;03;04;0;0;lose
2021-02-05;12;19;37;44;45;2;6;0;130000000;win
2021-02-05;06;17;22;35;36;01;08;0;0;lose
2021-02-05;04;23;24;31;39;02;07;0;0;lose
2021-02-05;03;40;43;46;49;07;10;0;0;lose
2021-02-05;08;09;10;13;17;08;10;0;0;lose
2021-02-02;18;20;35;38;48;9;12;0;40000000;win
2021-02-02;07;12;20;25;32;04;08;0;0;lose
2021-02-02;20;36;38;46;49;10;11;0;0;lose
2021-02-02;02;06;19;44;45;03;07;0;0;lose
2021-02-02;01;13;14;26;27;08;10;0;0;lose
2021-01-29;1;5;27;36;42;1;6;0;30000000;win
2021-01-29;08;09;23;44;45;08;12;0;0;lose
2021-01-29;04;22;33;47;49;05;09;0;0;lose
2021-01-29;12;30;37;45;50;05;07;0;0;lose
2021-01-29;04;23;26;32;45;02;04;0;0;lose
2021-01-26;5;7;25;37;40;2;8;0;17000000;win
2021-01-26;05;07;25;30;42;01;02;0;0;lose
2021-01-26;10;18;24;36;50;09;12;0;0;lose
2021-01-26;11;23;28;31;34;02;09;0;0;lose
2021-01-26;07;17;41;44;49;07;12;0;0;lose
2021-01-22;8;16;42;44;47;6;7;1;79000000;win
2021-01-22;10;18;24;29;40;01;11;0;0;lose
2021-01-22;38;41;45;46;47;10;12;0;0;lose
2021-01-22;02;17;20;40;42;05;09;0;0;lose
2021-01-22;02;11;23;27;46;03;09;0;0;lose
2021-01-19;25;27;31;35;43;5;6;0;67000000;win
2021-01-19;24;29;41;46;50;04;11;0;0;lose
2021-01-19;09;13;36;45;47;02;06;0;0;lose
2021-01-19;11;18;25;32;36;05;11;0;0;lose
2021-01-19;07;29;32;34;41;05;07;0;0;lose
2021-01-15;4;10;27;38;40;3;11;0;55000000;win
2021-01-15;08;12;32;43;46;07;12;0;0;lose
2021-01-15;13;14;18;30;32;08;12;0;0;lose
2021-01-15;02;13;22;32;41;07;12;0;0;lose
2021-01-15;11;15;16;22;23;09;12;0;0;lose
2021-01-12;2;10;18;34;35;6;9;0;41000000;win
2021-01-12;04;22;24;28;37;03;05;0;0;lose
2021-01-12;08;15;18;37;50;05;12;0;0;lose
2021-01-12;16;26;33;34;36;01;10;0;0;lose
2021-01-12;21;34;37;41;45;07;10;0;0;lose
2021-01-08;18;23;37;41;42;4;6;0;30000000;win
2021-01-08;10;14;19;32;37;04;06;0;0;lose
2021-01-08;10;21;25;30;49;05;08;0;0;lose
2021-01-08;24;28;31;37;38;02;11;0;0;lose
2021-01-08;20;30;34;39;42;01;02;0;0;lose
2021-01-05;12;34;37;38;42;1;3;0;17000000;win
2021-01-05;08;24;35;45;46;01;12;0;0;lose
2021-01-05;05;16;21;42;47;02;04;0;0;lose
2021-01-05;05;08;23;42;43;03;12;0;0;lose
2021-01-05;19;24;32;37;41;07;09;0;0;lose
2021-01-01;16;28;32;44;48;1;9;1;42000000;win
2021-01-01;02;17;25;45;48;01;06;0;0;lose
2021-01-01;08;18;19;22;46;02;05;0;0;lose
2021-01-01;12;17;29;32;40;04;12;0;0;lose
2021-01-01;14;20;33;48;49;08;10;0;0;lose
2020-12-29;7;32;39;40;45;3;8;0;28000000;win
2020-12-29;09;10;32;35;39;02;10;0;0;lose
2020-12-29;11;21;36;38;43;04;08;0;0;lose
2020-12-29;02;17;39;47;48;06;07;0;0;lose
